id,lat,long
1,35.52043,139.66501
2,35.4991,139.66127
3,35.53688,139.68425
4,35.50422,139.68973
6,35.5119,139.6644
7,35.50633,139.6707
10,35.50919,139.64487
11,35.51564,139.6521
14,35.52679,139.66762
15,35.51361,139.69044
16,35.51287,139.64798
17,35.51022,139.67155
19,35.50789,139.66394
20,35.52956,139.66348
21,35.53405,139.68135
22,35.50703,139.64993
23,35.51314,139.67183
1001,35.48674,139.65013
1003,35.47369,139.62584
1004,35.48605,139.61237
1005,35.49826,139.63785
1006,35.49091,139.64005
1007,35.47206,139.63022
1011,35.49078,139.63152
1016,35.48841,139.6167
1018,35.481,139.62662
1019,35.48504,139.63129
1020,35.490509,139.576577
1021,35.47464,139.60831
1022,35.482228,139.633422
1099,35.4814,139.61786
2001,35.44395,139.61761
2002,35.4539,139.61638
2003,35.45399,139.62146
2004,35.44888,139.62564
2005,35.45096,139.61592
2006,35.450753,139.613872
2007,35.45033,139.62003
3001,35.42972,139.6633
3003,35.429883,139.658237
3004,35.42178,139.64153
3005,35.43553,139.64548
3006,35.44256,139.6273
3008,35.42022,139.66269
3009,35.43612,139.64075
3010,35.43899,139.64743
3011,35.43635,139.64816
3012,35.42146,139.66675
3013,35.42981,139.67204
3014,35.43925,139.64154
4001,35.42973,139.59821
4003,35.4353,139.61565
4004,35.43552,139.6333
4005,35.41856,139.59592
4006,35.42698,139.61427
4009,35.43025,139.61008
4010,35.42692,139.60991
4013,35.42567,139.59102
4014,35.42854,139.58353
4015,35.43605,139.59262
4016,35.42476,139.60747
4017,35.41451,139.58859
4018,35.44026,139.61749
4019,35.43812,139.61378
4099,35.42952,139.58719
4102,35.41486,139.56999
4103,35.39992,139.59187
4104,35.37505,139.57385
4105,35.39622,139.58858
4106,35.38465,139.58406
4107,35.38414,139.57213
4109,35.3794,139.58075
4112,35.37012,139.58134
4113,35.40937,139.59157
4114,35.37686,139.58704
4116,35.39632,139.59892
4117,35.40545,139.56714
4118,35.38934,139.5724
4123,35.39859,139.59891
4195,35.39122,139.56738
4196,35.40202,139.58167
4197,35.38895,139.57751
4198,35.39569,139.58389
4199,35.38799,139.56868
5001,35.46629,139.58946
5002,35.47655,139.58925
5003,35.46251,139.57434
5004,35.46988,139.58058
5005,35.4389,139.55966
5006,35.45531,139.59943
5007,35.44863,139.59744
5008,35.44233,139.58914
5009,35.44815,139.57806
5010,35.45014,139.58838
5011,35.45217,139.59776
5013,35.45837,139.58405
5014,35.45063,139.59879
5015,35.45132,139.56319
5016,35.46322,139.6039
5099,35.46508,139.59752
5102,35.484,139.55376
5103,35.48423,139.53751
5104,35.46256,139.5551
5105,35.45374,139.52719
5107,35.49325,139.50369
5108,35.49279,139.53778
5109,35.4633,139.51967
5110,35.47362,139.54982
5111,35.45398,139.56064
5112,35.49603,139.53033
5113,35.47438,139.52719
5114,35.48752,139.54405
5115,35.48012,139.5302
5117,35.48265,139.5193
5118,35.46815,139.51387
5119,35.47314,139.5475
5121,35.50624,139.50125
5122,35.46277,139.54138
5123,35.45657,139.537
5126,35.46384,139.53447
5127,35.45459,139.52191
5128,35.50402,139.50491
5198,35.47337,139.53831
5199,35.461267,139.508973
6001,35.41649,139.61011
6002,35.3856,139.60655
6004,35.37769,139.59895
6005,35.36757,139.61018
6006,35.39983,139.6082
6007,35.40261,139.60408
6008,35.40387,139.6124
6011,35.38783,139.61411
6012,35.41857,139.63249
6014,35.41394,139.62848
6016,35.37872,139.59375
7001,35.37635,139.6362
7002,35.32434,139.59494
7003,35.33863,139.6096
7004,35.34772,139.60031
7006,35.35922,139.6127
7007,35.33163,139.62962
7008,35.36957,139.63457
7009,35.33741,139.62677
7010,35.32931,139.60573
7011,35.34327,139.62511
7012,35.37312,139.64066
7013,35.36462,139.63821
7015,35.34622,139.63359
7099,35.32428,139.62593
8001,35.54634,139.6311
8002,35.52431,139.62569
8003,35.49284,139.62788
8005,35.54542,139.62535
8006,35.49778,139.62456
8007,35.55564,139.61707
8008,35.50557,139.58479
8010,35.49944,139.61769
8011,35.50411,139.60466
8012,35.53908,139.62019
8013,35.51442,139.63033
8014,35.52835,139.63612
8015,35.54362,139.63765
8016,35.53931,139.63593
8017,35.55572,139.65154
8018,35.53777,139.63312
8020,35.52732,139.60585
8021,35.5048,139.6333
8022,35.5592,139.63799
8023,35.55453,139.64403
8024,35.53745,139.6338
8025,35.55935,139.63081
8101,35.51912,139.51494
8103,35.50727,139.56885
8105,35.50307,139.57169
8106,35.49931,139.56181
8107,35.49707,139.56128
8108,35.51002,139.54257
8109,35.5279,139.49542
8110,35.53088,139.53145
8111,35.52274,139.53555
8112,35.51609,139.52956
8113,35.53299,139.49414
8114,35.5288,139.48842
8116,35.49282,139.56174
8198,35.51776,139.50603
8199,35.51103,139.4998
8201,35.55542,139.5591
8202,35.57785,139.53825
8204,35.56947,139.53505
8205,35.55442,139.53224
8206,35.5717,139.55661
8207,35.53425,139.52248
8208,35.56246,139.5336
8209,35.58392,139.55539
8211,35.55762,139.55542
8212,35.53544,139.51035
8213,35.56742,139.52118
8214,35.58627,139.55048
8215,35.55848,139.500838
8216,35.56743,139.4729
8218,35.54194,139.52895
8219,35.55172,139.52222
8220,35.54779,139.52269
8221,35.57049,139.52415
8222,35.55933,139.48157
8298,35.55943,139.51839
8299,35.54105,139.51456
8301,35.52384,139.56544
8302,35.54324,139.55664
